"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","task","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","attention_check_correct","target_button","question_order","image_id","iamge_set"
"","","","","","html-button-response","85","673297","0.0-79.0","39","male","857.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","86","674071","0.0-80.0","39","male","773.1000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","87","674079","0.0-81.0","39","male","null","","null","","","","","","","","","","","","vissearch-summary-calculation","1","1009.2400000005961","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","88","675293","0.0-82.0","39","male","1212","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","89","684222","0.0-83.0","39","male","","DSB","","DSB 35859863","","","","","[3,5,8,5,9,8,6,3]","8","36895853","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","90","711451","0.0-84.0","39","male","713960.6000000238","DSBrecall","38695853","DSBrecall","","false","","","","","","8","6","0.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","91","711454","0.0-85.0","39","male","null","","null","","","","","","","","","","","","","","","0","0","0.75","713960.6000000238","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","92","714002","0.0-86.0","39","male","2546","image_instruct","0","image_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","93","729005","0.0-87.0","39","male","null","img1","null","img1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","94","731521","0.0-88.0","39","male","2515","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","95","740452","0.0-89.0","39","male","","DSB","","DSB 06185871","","","","","[0,6,1,8,5,8,7,1]","8","17858160","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","96","776508","0.0-90.0","39","male","779017.900000006","DSBrecall","51758160","DSBrecall","","false","","","","","","8","5","0.625","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","dsb-summary-calculation","97","776512","0.0-91.0","39","male","null","","null","","","","","","","","","","","","","","","","","","","","","0","0","0.625","779017.900000006","","","","","","","","","","","",""
"","","","","","consolidated-trial-data","98","776513","0.0-92.0","39","male","null","consolidated-trial-data","null","consolidated-trial-data","","","","","","","","","","","","","","0","0","0.75","","1","1","0","0","0.625","","0","1","39","1","1009.2400000005961","1","1","","","","",""
"","","","","","html-button-response","99","777762","0.0-93.0","39","male","1248","block message","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","100","780678","0.0-94.0","39","male","2914","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","101","781796","0.0-95.0","39","male","1116.8999999761581","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","102","782675","0.0-96.0","39","male","877.6000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","103","783621","0.0-97.0","39","male","945.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","104","784313","0.0-98.0","39","male","690.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","105","785220","0.0-99.0","39","male","906.0999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","106","786087","0.0-100.0","39","male","865.7999999821186","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","107","787416","0.0-101.0","39","male","1327.6000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","108","788414","0.0-102.0","39","male","997.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","109","789305","0.0-103.0","39","male","890","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","110","790131","0.0-104.0","39","male","824.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
